ID,level,input_noise,N_fixations,N_distant_fixations,trial,time_played,N_attempt,done,SoC,level_difficulty,crashed,N_prior_crashs,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
IA19EI,3,0.0,358.0,263.0,29,43.507182121276855,1,True,6,medium,0,7,6,0,0,6
IA19EI,6,1.5,80.0,49.0,30,15.309319019317629,1,False,2,hard,1,7,0,0,0,6
IA19EI,6,0.5,215.0,144.0,31,38.34267163276672,1,False,2,hard,1,8,1,1,0,6
IA19EI,5,2.0,154.0,63.0,32,25.6321074962616,2,False,2,hard,1,9,2,1,0,6
IA19EI,4,2.0,314.0,179.0,33,34.305694580078125,3,False,2,hard,1,10,3,1,0,6
IA19EI,5,2.0,121.0,75.0,34,32.49936890602112,3,False,2,hard,1,11,4,1,0,6
IA19EI,6,1.5,19.0,4.0,35,11.90410017967224,2,False,2,hard,1,12,5,1,0,6
IA19EI,6,1.5,113.0,64.0,36,38.5107491016388,3,False,2,hard,1,13,6,1,0,6
IA19EI,5,0.0,125.0,77.0,37,43.58759784698486,1,True,4,hard,0,14,1,1,1,7
IA19EI,6,0.0,128.0,62.0,38,43.39376878738403,1,True,5,hard,0,14,2,0,0,7
IA19EI,6,0.5,165.0,84.0,39,43.484739542007446,2,True,5,hard,0,14,3,0,0,7
IA19EI,4,1.5,118.0,58.0,40,43.61526131629944,2,True,3,hard,0,14,4,0,0,7
